State,2016,2017,2018,2019,2020,2021,2022
California,2623711.7,2740550.3,2850970.3,2969609.0,2933320.2,3154188.6,3184007.8
Florida,978989.7,1014866.9,1050433.8,1084913.9,1069758.8,1170526.3,1239883.6
Illinois,826404.7,832826.8,851517.2,858018.3,810200.9,855888.1,876536.0
Michigan,500159.5,505101.5,516843.0,521085.1,501893.8,530380.9,543720.9
New Jersey,587049.7,590086.7,606892.2,618691.0,597221.4,632463.3,650235.8
New York,1590567.8,1624800.7,1665186.8,1704364.3,1656784.8,1736222.3,1765102.1
Ohio,638157.5,652187.5,656212.0,674063.9,655243.3,690478.9,695257.9
Washington,495724.9,527169.4,561785.7,588794.4,589156.8,630051.5,644075.1
Arkansas,123034.9,123882.6,126371.2,127220.0,128340.9,137463.6,139560.7
Hawaii,85670.4,87436.4,88836.4,88855.2,79840.1,84408.5,86887.8
Maryland,391950.9,399714.5,402480.9,402506.2,388782.8,406953.1,416406.2
Massachusetts,521662.8,530129.4,549262.1,566326.8,559765.0,595911.8,608052.9
Nevada,156007.4,163199.1,168638.5,176029.7,166077.0,182474.1,190463.3
New Mexico,93043.5,93210.1,96077.0,100342.2,97622.4,100917.6,103301.6
West Virginia,73513.3,75172.4,77406.5,77162.2,74553.8,75765.1,77188.0
Indiana,348439.2,357535.8,368762.9,370507.2,359787.3,387122.0,399280.8
