State,2016,2017,2018,2019,2020,2021,2022
Arkansas,3.975,3.741666666666666,3.650000000000001,3.4916666666666667,6.158333333333332,4.033333333333333,3.1749999999999994
California,5.516666666666667,4.833333333333333,4.258333333333333,4.091666666666667,10.166666666666666,7.35,4.291666666666666
Florida,4.908333333333332,4.283333333333334,3.641666666666667,3.2416666666666667,8.066666666666668,4.716666666666668,3.016666666666666
Hawaii,2.908333333333333,2.2333333333333334,2.4000000000000004,2.508333333333333,11.741666666666664,5.966666666666666,3.2583333333333333
Illinois,5.883333333333334,4.958333333333333,4.391666666666667,3.975000000000001,9.333333333333332,6.1000000000000005,4.583333333333333
Indiana,4.391666666666667,3.524999999999999,3.4333333333333336,3.316666666666666,7.383333333333333,3.891666666666666,3.0666666666666664
Maryland,4.250000000000001,4.066666666666667,3.808333333333334,3.3833333333333333,6.516666666666666,5.2,2.966666666666667
Massachusetts,4.016666666666666,3.8333333333333335,3.4583333333333326,3.0500000000000003,9.341666666666669,5.291666666666667,3.625
Michigan,4.991666666666667,4.583333333333335,4.166666666666667,4.074999999999999,10.075,5.7250000000000005,4.133333333333334
Nevada,5.833333333333333,5.008333333333332,4.408333333333332,4.108333333333333,13.675,6.825,5.2
New Jersey,4.933333333333333,4.516666666666667,4.016666666666667,3.4583333333333326,9.483333333333333,6.6916666666666655,3.85
New Mexico,6.783333333333334,6.116666666666667,4.933333333333334,4.966666666666666,7.925000000000001,7.0666666666666655,4.066666666666667
New York,4.874999999999999,4.641666666666668,4.1,3.891666666666667,9.908333333333331,7.083333333333333,4.291666666666667
Ohio,5.058333333333335,4.933333333333333,4.475,4.124999999999999,8.258333333333333,5.241666666666666,3.975
Washington,5.191666666666667,4.650000000000001,4.4,4.183333333333333,8.700000000000001,5.191666666666667,4.058333333333335
West Virginia,6.074999999999999,5.2,5.141666666666667,4.925,8.333333333333334,5.141666666666667,3.858333333333333
